idade,genero,renda,visitas_site,paginas_por_visita,tempo_no_site,compras_anteriores,pontos_fidelidade,conversao
56,Female,136912,0,2.399016527783845,7.396802580796058,4,688,1
69,Male,41760,42,2.9171377546565185,5.352548601242156,2,3459,1
46,Female,88456,2,8.223619097965173,13.794901465536537,8,2337,1
32,Female,44085,47,4.540938973132648,14.688362621260511,0,2463,1
60,Female,83964,0,2.046847118073755,13.993370402628964,8,4345,1
25,Female,42925,6,2.1258497188974825,7.75283124173589,0,3316,1
38,Female,25615,42,1.753994644846414,10.698671609738582,6,930,1
56,Female,57083,48,2.6260147804299696,2.9878173820459533,0,2983,1
36,Female,140788,13,5.472842819871711,14.287420579067645,5,460,1
40,Male,130764,22,1.1356646981040013,4.613311983530028,8,3789,1
28,Male,88319,47,2.054180721644969,3.294720457220691,6,1987,1
28,Male,29605,16,9.16410933538071,1.3722992112148078,5,2403,1
41,Male,131093,13,8.889232340428132,8.480384140532976,4,2946,1
53,Male,64608,8,8.497723392296296,14.252724962307653,2,2818,1
57,Male,148788,20,7.356534606290646,2.4660296351671014,1,3247,1
41,Female,39192,44,6.95369491204816,2.2520393830350898,1,4474,0
20,Female,23331,1,3.479642300460536,4.452665667280358,8,3252,1
39,Female,71330,31,4.0149507927033445,10.148211448254632,2,3463,1
19,Female,117392,7,3.1222196163658817,8.44329584248851,6,2222,1
41,Female,69949,35,9.822822688497828,1.8950009240635688,3,3644,1
61,Female,88382,25,6.708743067769062,6.913353501464534,6,1651,1
47,Female,119233,36,9.69190632380631,1.470518152555739,5,2586,1
55,Male,57586,14,3.4460780379605,12.85260043957216,9,1989,1
19,Female,72243,33,6.5908820051354216,2.0531207988121314,3,1417,1
38,Female,120566,20,7.830556785210321,7.33382552085477,2,1563,1
50,Female,144213,22,1.852651784450584,7.901721933466988,3,2227,1
29,Male,78618,8,7.002648583172598,8.186830947810558,1,129,0
39,Male,98311,39,2.52165310818842,9.33274626153203,1,2688,1
61,Female,27549,25,3.9527420104793984,10.67294510281997,3,68,1
42,Female,138168,42,7.445377034619436,0.5631910961814526,2,3079,1
66,Male,72494,21,4.960582617824441,0.9482583271575142,4,1011,1
44,Male,107973,12,9.29045667982302,9.367495241283509,0,911,1
59,Female,43958,24,3.170819821328504,3.1410596327745486,6,4683,1
45,Female,109779,6,2.384030881810251,12.561754154488307,3,467,1
33,Male,127713,26,4.034547735123173,9.598918909699371,5,653,1
32,Female,127960,14,8.667309012438816,14.715810565969887,1,2429,1
64,Male,114520,11,8.626820998058339,11.056062210688513,3,1066,1
68,Male,122478,44,4.323750219686711,1.81535897967326,4,257,1
61,Female,149203,32,8.28858086225458,2.979151166863559,5,4709,1
69,Male,141835,20,1.700094274755053,1.1749590102378389,0,2885,1
20,Female,57538,24,1.0684143982270011,11.247050051443615,3,1476,1
54,Female,25833,39,8.783242758213401,2.3389376321483093,1,3243,1
68,Female,142893,46,8.866645175813446,10.124628655923578,9,3513,1
24,Male,43386,21,2.290589950043227,8.553267291850656,0,913,0
38,Male,136981,13,3.679429010942673,9.68281578896813,8,2136,1
26,Male,120349,7,8.655366185211038,7.875713522347193,0,284,1
56,Female,119341,23,1.75390254497437,0.6889163080524987,1,4275,1
35,Female,91778,2,8.767835076942303,4.171662098102583,8,3388,1
21,Female,114240,11,6.172143151518968,13.33223663256786,7,883,1
42,Female,127955,46,6.9154947914736224,13.974394238321404,9,3404,1
31,Female,44832,21,6.35337051034278,1.9095419310060489,9,4788,1
67,Female,97857,15,6.242790971738998,14.31311612747055,9,4720,1
26,Male,58930,6,2.6655497892374544,10.222627750715883,3,2124,1
43,Male,52407,17,3.1245225954937443,13.877084818207472,1,3219,1
19,Female,24073,44,6.220482931936546,6.316877102178184,7,4930,1
37,Male,37667,22,4.612648727456795,1.9753031171544757,2,1977,1
45,Male,36035,25,5.871602254502379,4.885572327041508,9,3851,1
64,Female,26732,37,3.28029404835394,10.500381999363016,0,336,1
24,Female,75097,1,5.174403874861278,12.030711734034258,1,465,1
61,Male,23487,1,2.290642000944768,1.226773102297375,3,3434,1
25,Female,120488,21,1.3455584162298455,7.560799216279875,0,1035,1
64,Female,77702,37,9.5600473730827,1.4333171818045771,5,2604,1
52,Female,146671,41,7.507496310873257,13.022392911297612,3,716,1
31,Male,114961,27,5.4825747038521495,7.406912959253098,5,3979,1
34,Male,132194,16,5.959106045055914,13.76491648066984,4,824,1
53,Female,105107,47,5.600563890887185,1.6393927870019132,3,125,1
67,Female,49075,17,9.089285251272324,5.291814779256124,6,643,1
57,Female,127721,1,7.962747094633628,10.309807280141806,6,4051,1
21,Female,91031,34,3.926284369811056,4.75699817478993,3,4280,1
19,Male,104217,14,2.963681280420248,12.702598835234229,3,3849,1
23,Male,34781,14,1.598763606256834,14.80908862490385,3,1328,1
59,Female,59865,43,2.330102106363525,4.577684189998155,7,558,1
21,Male,28469,44,5.410550208628478,5.735629035884559,4,2761,1
46,Male,65167,33,2.8231326543810797,14.526510324964256,4,2918,1
35,Female,144866,49,3.811545261830956,5.691886045671894,8,3483,1
43,Male,101738,14,2.1999620146035177,8.56180444319324,9,11,1
61,Male,39928,17,9.305327352529856,11.654004160398635,5,2751,1
51,Female,96521,12,1.3035253466503771,6.855998938303446,3,1964,1
27,Male,59599,37,4.166296478614447,5.902815262325685,6,4031,1
53,Male,36775,7,3.32339204655476,7.686031017979452,7,65,1
31,Female,86504,15,1.0747242000011377,11.803038304053668,6,1998,1
48,Female,95918,19,9.35738226802263,5.026353019635538,5,590,1
65,Male,90687,25,3.8224671744173855,5.586708708218365,1,220,1
32,Female,46804,34,5.5204757639096895,3.2425199051595213,4,4394,1
25,Male,129122,16,6.243458476858796,10.673453751200258,5,928,1
31,Female,52259,25,6.494317814415807,13.542031800936664,1,1884,1
40,Female,145725,17,5.14234655283277,3.193228853049398,8,1530,1
57,Female,106284,43,6.344464544386568,1.001548287425016,9,932,1
38,Female,105227,6,7.765849037611107,6.028424544875227,3,3472,1
33,Male,117556,43,9.568801255483764,6.4472440921958505,4,3242,1
62,Male,63560,34,6.913335432991241,9.86502113832734,4,3897,1
35,Female,47256,11,5.16006570585902,1.7410694853285875,6,1288,1
64,Male,26125,46,5.00144055304416,12.411726882646429,8,2324,1
41,Male,24370,48,7.388716275725715,8.822808703481757,8,2368,1
43,Female,24838,43,6.643316919844335,8.416578322003813,5,3006,1
42,Female,134479,40,4.78347931180887,5.087263988867358,8,72,1
62,Female,77429,0,4.022981312317757,5.796378940439576,3,3482,1
58,Male,23134,24,9.938337790280526,1.3036951327465784,4,205,1
46,Female,130995,15,7.901172888798082,11.42944427466166,4,2595,1
32,Male,63199,14,2.860981283331116,9.268680169670391,4,3514,1
62,Male,97092,10,3.629545047167259,14.65821335926337,0,2398,1
18,Female,144925,36,9.043198028312194,5.626645702776845,6,4525,1
42,Male,53822,38,6.94746269883618,10.16053387556664,5,1506,1
24,Male,113513,2,3.796775535103987,13.83340680855619,2,1821,1
26,Female,40113,44,4.2778927306305,10.819372891745626,7,272,1
41,Male,83594,44,4.410168981776536,1.0845026080841125,5,360,1
18,Male,116102,41,2.676656769794363,9.667433636910989,8,4403,1
61,Male,22669,38,5.600518555929202,8.408169707124834,6,3502,1
25,Female,69427,19,7.890135793897303,7.740043405303668,7,2395,1
41,Female,101617,22,6.076539536552475,8.519137530564635,8,2647,1
28,Female,32938,14,6.903477546875941,7.178204489159226,5,3426,1
68,Female,25717,17,6.358477492455616,10.531567373333983,7,603,1
34,Female,97818,38,1.530058864615281,0.716237090614334,1,3469,1
25,Female,67659,34,2.692540546444005,3.234115831799596,0,4643,0
52,Male,127601,28,4.153135931567241,5.798091617120452,8,162,1
52,Male,84575,19,9.003115026506029,7.06367541903137,9,1669,1
50,Female,99737,41,4.138231008349045,2.392052046033135,5,1981,1
22,Male,36289,14,3.944052745099756,12.392116674580558,9,4669,1
59,Female,44406,31,1.7252798135894871,13.976174885706971,9,2597,1
56,Female,142688,11,9.748713499989746,11.392624595736226,2,4820,1
58,Female,116822,47,8.006947028972444,13.967861700766468,2,3803,1
45,Female,32873,11,7.893345036479465,11.276709902483054,7,3336,1
24,Female,145812,24,4.453349631024197,6.895312272664034,2,4108,1
26,Male,102048,33,1.7053250853307098,6.200428113745987,9,3310,1
25,Female,114463,7,3.3716824158063217,2.912791037497044,5,4974,1
29,Female,43461,23,8.676096800949086,1.7534820949244332,5,3606,1
51,Female,40710,44,2.622681194308918,3.684465089653305,4,4652,1
50,Male,105488,0,9.048246303563436,8.215968117396326,6,2863,1
65,Male,33448,24,5.821790638361078,2.4567336911387727,3,596,1
40,Male,35198,33,7.430828762024781,14.291871417515903,9,1084,1
41,Female,93158,13,5.082772555163736,3.668285627246086,5,2530,1
54,Female,126384,35,9.390784344018265,12.587655232225988,0,3755,1
52,Male,87938,5,3.1569249861967283,12.37287496142299,2,458,1
61,Female,70799,44,6.151900872309263,2.547455547881556,6,40,1
57,Male,121860,8,1.6220441169682966,10.805771290500523,8,2601,1
39,Female,114003,47,5.323845179692673,12.449650635075962,0,819,1
44,Female,54961,0,9.754429167635587,13.322166745776396,3,3124,1
52,Male,63007,8,1.7931837214837063,14.332704260633935,6,3120,1
18,Female,85470,23,5.560507267012628,13.986500234612308,9,189,1
52,Female,72256,38,6.420756803381238,5.011487334042284,8,2995,1
54,Female,40739,17,9.385712713834623,4.381011226104657,7,2856,1
64,Female,104054,47,3.676727816736563,6.264191036262863,1,2962,1
31,Female,78186,38,5.526465725318712,7.242590888457313,1,1913,0
20,Male,46547,17,9.884762670005763,3.891332745383832,8,1910,1
18,Female,114472,40,7.921171012146457,1.7482063423519223,1,318,0
22,Female,105823,27,8.293731200002536,10.020503131857463,9,4579,1
43,Female,138301,1,8.024601479431688,3.026491370684931,6,4662,1
31,Male,126887,36,5.637034212188946,13.766045389871373,9,3096,1
56,Male,71431,40,4.909186607249927,4.671429645066419,8,2876,1
44,Male,45476,35,3.293318597762369,3.3664504930930623,7,252,1
26,Male,98411,47,5.193701565566775,3.3152932099850814,4,4,1
32,Male,30686,23,1.1845212911024556,4.697293160534945,1,3395,0
32,Female,37536,34,1.8739989058625648,9.37640394526057,5,2692,1
43,Male,54062,5,3.585318424372439,14.685596342451614,6,3824,1
59,Male,68216,16,4.002666177514678,7.550893895052467,9,399,1
30,Female,45041,29,7.367656043283126,9.195330769357188,6,858,1
68,Male,51653,7,2.5444217542346665,12.717691116476296,4,2699,1
49,Male,41673,41,8.16195543864698,5.343542947391375,9,4216,1
56,Male,30367,9,8.20721404536011,3.1082117515672487,8,2497,1
66,Male,39629,15,6.2833368012636415,6.787591298126436,5,2503,1
69,Female,140756,37,5.423468670720711,5.1210437465823375,9,2986,1
49,Male,131641,25,5.206589889513079,13.058880767847636,8,225,1
21,Female,108636,30,4.784852305949919,14.6801277708446,7,3180,1
47,Female,92190,7,1.7971744225215756,10.48059346699558,9,3224,1
54,Female,45063,34,6.8989919231342745,9.979531017935834,8,4269,1
40,Female,39322,33,6.195670020035424,10.856206973874794,0,1775,1
56,Female,104546,9,1.1419075418406324,7.281154694241499,1,4941,1
62,Female,135637,39,2.824261889302804,9.617520480747292,7,927,1
32,Male,32693,43,4.926918619050181,1.533284513123931,5,412,1
60,Male,29241,11,9.111769767493955,7.655008803404265,0,3631,1
46,Female,49778,40,9.912508938018306,5.319315995287802,9,3666,1
53,Male,122379,26,7.761936743552121,1.271114989129443,0,3396,1
30,Male,32651,18,7.744075889362614,8.399256463471179,0,3426,1
49,Female,45966,25,4.737471508586526,5.723718917124088,2,3060,1
24,Female,29275,14,6.138552150734366,9.063900894804243,8,3550,1
68,Male,65606,30,3.095353988110013,7.941110990035974,5,3789,1
39,Female,21658,45,7.64336790816678,4.505185017779938,1,2545,1
45,Male,114499,36,1.5380618772475123,8.329760096708398,7,3047,1
19,Female,92468,17,4.755216437728766,5.992224618459769,9,1407,1
59,Male,34248,28,8.482253919178962,13.856183100605785,2,409,1
62,Male,44437,43,9.818736345761264,5.946682885694109,0,3031,1
23,Female,59727,26,7.269027518027082,1.0821737222396333,9,126,1
45,Female,38201,37,2.77539076443414,11.571804916235056,5,315,1
45,Female,61150,19,6.139661870167535,14.473409143876312,3,1148,1
61,Female,135148,20,6.044616314923665,2.9560653914521726,5,2248,1
61,Male,109891,28,9.691884630079514,14.605358874823434,7,3438,1
37,Female,34999,42,8.561680390435637,9.449310929280614,3,4419,1
47,Male,140703,14,1.441103225151256,12.787094410916014,3,855,0
28,Male,26376,21,2.9808387502264337,7.356982368455246,5,1886,1
45,Male,71673,22,8.577315278522331,9.526562930766708,1,4203,1
42,Female,23476,3,9.752248224830184,12.695338991612228,2,1278,1
56,Female,137393,23,3.6520498435025,14.75060064764697,1,3056,1
50,Female,89902,13,7.216559353005942,3.179560611211532,8,1032,1
18,Female,134510,36,3.770216610398194,13.531825997136854,3,1552,1
44,Male,111269,20,1.3698712375543711,10.175442540620518,2,1529,1
69,Female,97994,42,8.465323754551132,14.229486533040324,1,50,1
30,Female,82878,38,7.6496462650726675,5.112548693030206,0,844,0
58,Male,118331,12,1.479729269825945,4.017612137733304,1,523,1
20,Female,40615,18,2.309159428446572,5.800090190505322,3,882,1
56,Male,31164,25,9.995795389014674,13.325239928866695,3,2141,1
23,Female,59316,35,6.85685163099676,7.164674143585152,6,3012,1
25,Female,88560,43,8.20387726733701,14.296397353170176,2,1764,1
44,Female,49559,45,4.497627264066196,4.013931371459348,6,2956,1
26,Male,82968,32,5.664220054753612,3.697861583748309,3,1014,1
54,Male,86800,39,6.578934799819103,10.33688236229054,8,780,1
50,Male,29047,15,8.254185265267308,4.729118659630814,6,155,0
68,Male,64985,18,4.050157659749029,2.372745181609949,1,4216,1
59,Male,92123,36,7.050365140747077,5.951105788208576,8,4398,1
61,Female,26577,13,7.980920315630907,4.359403681630583,8,446,1
41,Female,103171,43,8.246193084382309,6.488229935823489,1,3419,1
32,Female,131100,43,5.4931703730144505,3.204409440674151,7,1404,1
49,Female,23870,29,5.260274329668837,14.37625205766021,6,3153,1
49,Male,54094,30,1.9407954767589877,12.12390981108774,0,2301,0
41,Female,75329,19,5.479525547341076,12.693068331269489,0,1720,1
58,Male,29217,43,7.317400896914812,4.817973721221428,7,2906,1
69,Female,135049,42,9.285291884287783,12.923001137841016,9,2689,1
66,Female,103138,46,2.126796266778189,9.066366917166004,4,4126,1
66,Female,86141,6,9.719967714692,1.322604384083288,8,3798,1
69,Male,42343,41,3.106651475096811,2.722290855559244,2,2072,1
29,Female,148307,36,2.5827933175021247,6.966457486744621,2,3106,1
56,Female,70822,46,2.0306591101089766,6.209882114286802,7,1749,1
19,Male,33003,1,9.911227960677312,12.031538732011388,4,3873,1
20,Female,128793,21,6.049166614018771,13.16820645849578,0,2220,1
66,Female,79538,12,3.435399805001746,13.04149186698782,8,534,1
54,Female,52089,45,3.857807696787225,5.941692203931359,1,3945,1
66,Male,73595,37,9.55244059281564,9.718731020107386,6,2138,1
34,Male,103197,30,9.099716179738987,7.707823056841955,7,3657,1
66,Male,102318,0,4.14985223766748,13.389329128094944,3,783,1
19,Male,50029,46,1.5722690873365852,13.390092765739904,2,3651,1
19,Male,99023,42,8.501701663826886,1.2811476137057425,0,625,1
45,Male,71324,12,9.22979912212122,8.796032166917437,9,397,1
40,Female,71962,16,8.53779986758288,7.800261308645882,6,3919,1
54,Female,133037,3,9.21681350405978,11.670686228008597,6,3182,1
49,Male,59042,42,6.18311827884427,3.339216880910442,8,3922,1
50,Male,107601,30,8.556929704832381,10.577475347840815,5,4473,1
18,Female,96380,32,9.495207101337131,11.20984066549705,3,2690,1
36,Male,104859,13,9.00912912111674,0.8878172252654638,0,2345,1
19,Female,110933,20,6.284585371690229,6.753390394214803,5,1206,1
61,Female,65957,21,7.718779179950629,14.694724977486723,1,4289,1
43,Female,102864,4,7.491726583655289,4.858765441124604,9,1747,1
49,Female,146358,36,8.22668171464896,13.325716849423005,8,2612,1
23,Female,63739,31,3.0596476812227538,9.009905197612214,6,4505,1
49,Female,58733,2,1.0196029710152017,4.799892193791721,0,4114,1
21,Male,65389,40,5.589096358107261,12.621812728000677,3,4468,1
28,Female,49715,12,7.889957708214971,14.86459477120112,4,3953,1
34,Female,59116,10,2.126101800437972,11.259084463501814,2,110,1
55,Male,76922,49,5.795085115605641,1.388761865518711,8,865,1
41,Male,76251,41,3.829680856935568,1.259953718611134,8,2351,1
22,Male,81794,37,8.544162138588568,7.627555321179108,8,1719,1
69,Female,37580,23,1.9022861755784424,0.5879704346491599,1,156,0
51,Male,135900,8,8.631046380371073,10.30125237600754,2,1588,1
23,Male,20823,12,6.496904831695697,0.736383696571143,9,1817,1
39,Male,148001,21,9.275002143548075,14.609443384973876,6,2976,1
28,Female,112008,17,9.420640115312963,13.269170993196637,5,1732,1
65,Male,27084,9,8.279896434497592,12.322986236562958,7,3689,1
33,Female,97991,46,5.77099139270713,12.279976362551889,0,2632,1
50,Female,30607,11,2.283030952190791,12.598438766669798,7,474,1
26,Female,102455,29,3.0288148940182174,6.796711725080674,0,3193,1
23,Female,132540,46,4.759766816808362,11.981921553961968,5,2234,1
33,Male,104930,45,7.561192742589608,5.823679533549838,7,1498,1
46,Male,134540,18,5.903688127398821,12.801602269626033,9,3545,1
20,Female,96355,18,4.944718890658451,9.4605100565077,6,3300,1
37,Male,142225,9,5.297809252413133,5.696002862215592,2,3202,1
53,Male,31969,0,7.67337911547847,11.309360903317492,6,3769,1
36,Female,83059,6,1.3092079120492142,4.020952128453675,2,916,0
43,Male,37333,10,4.983678433212175,14.487627112242386,2,3069,1
20,Female,97236,3,6.154328401922568,10.138804765694044,4,1636,1
36,Male,147182,35,6.298420253160542,6.317430136060223,1,1447,1
37,Female,117328,20,6.568183942579241,8.485558668564952,0,4807,1
